None,1687082157
None,1687082370
other,1687082371
other,1687082382
cooking,1687082383
cooking,1687082682
other,1687082683
other,1687082695
eating,1687082696
eating,1687083003
other,1687083004
other,1687083018
bathing,1687083019
bathing,1687083310
other,1687083311
other,1687083332
watchingTV,1687083333
watchingTV,1687083659
other,1687083660
other,1687083677
toileting,1687083678
toileting,1687084006
other,1687084007
other,1687084028
sleeping,1687084029
sleeping,1687084477
other,1687084478
other,1687084487
