None,1687157571
None,1687157716
other,1687157717
other,1687157734
cooking,1687157735
cooking,1687158033
other,1687158034
other,1687158041
eating,1687158042
eating,1687158376
other,1687158377
other,1687158389
bathing,1687158390
bathing,1687158694
other,1687158695
other,1687158712
watchingTV,1687158713
watchingTV,1687159016
other,1687159017
other,1687159033
toileting,1687159034
toileting,1687159353
other,1687159354
other,1687159372
sleeping,1687159373
sleeping,1687159705
other,1687159706
other,1687159716
