None,1687166381
None,1687166395
other,1687166396
other,1687166409
cooking,1687166410
cooking,1687166710
other,1687166711
other,1687166718
eating,1687166719
eating,1687167052
other,1687167053
other,1687167063
bathing,1687167064
bathing,1687167377
other,1687167378
other,1687167393
watchingTV,1687167394
watchingTV,1687167701
other,1687167702
other,1687167718
toileting,1687167719
toileting,1687168041
other,1687168042
other,1687168065
sleeping,1687168066
sleeping,1687168403
other,1687168404
other,1687168417
